Problem name,experiment number,distance,time (seconds)
ft70,28,39855,25.2321
ft70,29,39966,25.2209
ftv33,0,1327,5.49102
ftv33,1,1331,5.44608
ftv33,2,1349,5.46469
ftv33,3,1327,5.47647
ftv33,4,1327,5.44358
ftv33,5,1331,5.44608
ftv33,6,1327,5.45029
ftv33,7,1327,5.46352
ftv33,8,1331,5.44924
ftv33,9,1353,5.45228
ftv33,10,1327,5.47699
ftv33,11,1327,5.44885
ftv33,12,1327,5.44648
ftv33,13,1331,5.44371
ftv33,14,1304,5.47316
ftv33,15,1331,5.4548
ftv33,16,1341,5.44842
ftv33,17,1331,5.47134
ftv33,18,1327,5.45422
ftv33,19,1327,5.45982
ftv33,20,1319,5.4795
ftv33,21,1327,5.45805
ftv33,22,1327,5.44803
ftv33,23,1369,5.46103
ftv33,24,1327,5.45241
ftv33,25,1322,5.44722
ftv33,26,1331,5.45091
ftv33,27,1327,5.47497
ftv33,28,1327,5.45053
ftv33,29,1327,5.44555
ftv35,0,1454,6.07156
ftv35,1,1470,6.04781
ftv35,2,1449,6.0434
ftv35,3,1449,6.04211
ftv35,4,1449,6.06977
ftv35,5,1449,6.0468
ftv35,6,1454,6.04319
ftv35,7,1454,6.04402
ftv35,8,1445,6.07145
ftv35,9,1449,6.04192
ftv35,10,1449,6.03979
ftv35,11,1445,6.05325
ftv35,12,1468,6.0495
ftv35,13,1454,6.04497
ftv35,14,1438,6.03971
ftv35,15,1449,6.04067
ftv35,16,1449,6.06945
ftv35,17,1447,6.04641
ftv35,18,1449,6.03868
ftv35,19,1454,6.04134
ftv35,20,1454,6.05875
ftv35,21,1449,6.04579
ftv35,22,1445,6.04143
ftv35,23,1445,6.03913
ftv35,24,1454,6.0692
ftv35,25,1457,6.04758
ftv35,26,1471,6.04061
ftv35,27,1453,6.04953
ftv35,28,1449,6.05741
ftv35,29,1454,6.04775
ftv38,0,1606,7.12937
ftv38,1,1658,7.13786
ftv38,2,1624,7.15477
ftv38,3,1588,7.14281
ftv38,4,1661,7.13605
ftv38,5,1636,7.13353
ftv38,6,1606,7.16284
ftv38,7,1669,7.13502
ftv38,8,1660,7.13886
ftv38,9,1667,7.14316
ftv38,10,1630,7.16337
ftv38,11,1671,7.13082
ftv38,12,1626,7.12714
ftv38,13,1633,7.1493
ftv38,14,1606,7.13687
ftv38,15,1610,7.12986
ftv38,16,1637,7.14115
ftv38,17,1609,7.16059
ftv38,18,1619,7.13899
ftv38,19,1641,7.13143
ftv38,20,1628,7.14992
ftv38,21,1607,7.17432
ftv38,22,1645,7.13125
ftv38,23,1606,7.13029
ftv38,24,1606,7.16258
ftv38,25,1622,7.16199
ftv38,26,1642,7.1346
ftv38,27,1626,7.13924
ftv38,28,1632,7.14276
ftv38,29,1606,7.1357
ftv44,0,1780,9.54411
ftv44,1,1780,9.54013
ftv44,2,1820,9.56432
ftv44,3,1780,9.57685
ftv44,4,1780,9.54534
ftv44,5,1780,9.54248
ftv44,6,1776,9.54554
ftv44,7,1780,9.57033
ftv44,8,1780,9.58158
ftv44,9,1780,9.54312
ftv44,10,1780,9.5425
ftv44,11,1777,9.53898
ftv44,12,1780,9.56482
ftv44,13,1780,9.54647
ftv44,14,1780,9.54398
ftv44,15,1780,9.53789
ftv44,16,1780,9.5673
ftv44,17,1780,9.57344
ftv44,18,1780,9.53794
ftv44,19,1780,9.54372
ftv44,20,1780,9.54034
ftv44,21,1739,9.56682
ftv44,22,1780,9.54495
ftv44,23,1776,9.54174
ftv44,24,1780,9.54864
ftv44,25,1780,9.57008
ftv44,26,1797,9.57778
ftv44,27,1780,9.5438
ftv44,28,1780,9.53797
ftv44,29,1780,9.53997
ftv47,0,1772,10.5676
ftv47,1,1746,10.589
ftv47,2,1755,10.5368
ftv47,3,1762,10.5569
ftv47,4,1770,10.5411
ftv47,5,1772,10.5777
ftv47,6,1772,10.5634
ftv47,7,1752,10.5467
ftv47,8,1772,10.5335
ftv47,9,1777,10.5369
ftv47,10,1770,10.5732
ftv47,11,1750,10.5374
ftv47,12,1754,10.5376
ftv47,13,1741,10.5406
ftv47,14,1755,10.5713
ftv47,15,1741,10.5462
ftv47,16,1723,10.5354
ftv47,17,1750,10.5448
ftv47,18,1762,10.5766
ftv47,19,1770,10.5771
ftv47,20,1760,10.5453
ftv47,21,1756,10.5344
ftv47,22,1780,10.5363
ftv47,23,1773,10.5681
ftv47,24,1750,10.5485
ftv47,25,1768,10.5352
ftv47,26,1747,10.5407
ftv47,27,1759,10.5713
ftv47,28,1755,10.5525
ftv47,29,1772,10.5369
ftv55,0,1649,14.6581
ftv55,1,1639,14.6555
ftv55,2,1657,14.6811
ftv55,3,1678,14.6542
ftv55,4,1653,14.662
ftv55,5,1662,14.6768
ftv55,6,1689,14.6584
ftv55,7,1606,14.6758
ftv55,8,1626,14.648
ftv55,9,1685,14.6632
ftv55,10,1691,14.6531
ftv55,11,1655,14.6679
ftv55,12,1660,14.6609
ftv55,13,1665,14.6551
ftv55,14,1668,14.6715
ftv55,15,1663,14.6907
ftv55,16,1681,14.6831
ftv55,17,1684,14.66
ftv55,18,1597,14.6538
ftv55,19,1665,14.6748
ftv55,20,1608,14.6489
ftv55,21,1678,14.6562
ftv55,22,1678,14.6782
ftv55,23,1640,14.6714
ftv55,24,1685,14.6538
ftv55,25,1676,14.6582
ftv55,26,1636,14.6555
ftv55,27,1624,14.6534
ftv55,28,1663,14.6854
ftv55,29,1640,14.6664
ftv64,0,1948,19.2957
ftv64,1,1950,19.2631
ftv64,2,1960,19.2643
ftv64,3,1949,19.2814
ftv64,4,1921,19.272
ftv64,5,1920,19.2888
ftv64,6,1937,19.2706
ftv64,7,1981,19.2654
ftv64,8,1938,19.2731
ftv64,9,1994,19.2739
ftv64,10,1973,19.303
ftv64,11,1955,19.2729
ftv64,12,1967,19.2927
ftv64,13,1939,19.27
ftv64,14,1967,19.2639
ftv64,15,1942,19.2706
ftv64,16,1950,19.2723
ftv64,17,1950,19.2977
ftv64,18,1947,19.2684
ftv64,19,1988,19.2688
ftv64,20,1935,19.2737
ftv64,21,1994,19.2732
ftv64,22,1970,19.2852
ftv64,23,1942,19.2743
ftv64,24,1942,19.2995
ftv64,25,1950,19.273
ftv64,26,1950,19.2747
ftv64,27,1975,19.2756
ftv64,28,1991,19.2695
ftv64,29,1944,19.2993
ftv70,0,2202,23.2354
ftv70,1,2171,23.2433
ftv70,2,2177,23.246
ftv70,3,2181,23.2436
ftv70,4,2172,23.2385
ftv70,5,2214,23.2384
ftv70,6,2188,23.2632
ftv70,7,2163,23.2381
ftv70,8,2195,23.2498
ftv70,9,2173,23.2823
ftv70,10,2134,23.2538
ftv70,11,2158,23.2365
ftv70,12,2194,23.2711
ftv70,13,2158,23.2293
ftv70,14,2183,23.2323
ftv70,15,2212,23.2426
ftv70,16,2214,23.2518
ftv70,17,2188,23.2459
ftv70,18,2189,23.233
ftv70,19,2172,23.2398
ftv70,20,2181,23.2663
ftv70,21,2221,23.2356
ftv70,22,2159,23.2418
ftv70,23,2177,23.2804
ftv70,24,2160,23.2316
ftv70,25,2182,23.2412
ftv70,26,2162,23.2358
ftv70,27,2199,23.2601
ftv70,28,2172,23.2525
ftv70,29,2158,23.2368
gr17,0,2088,1.62112
gr17,1,2088,1.63607
gr17,2,2094,1.62476
gr17,3,2085,1.61128
gr17,4,2085,1.61182
gr17,5,2085,1.60581
gr17,6,2085,1.61376
gr17,7,2085,1.61914
gr17,8,2085,1.61578
gr17,9,2085,1.61298
gr17,10,2085,1.61303
gr17,11,2094,1.62113
gr17,12,2085,1.64179
gr17,13,2085,1.62317
gr17,14,2085,1.61213
gr17,15,2085,1.62063
gr17,16,2085,1.6059
gr17,17,2085,1.6122
gr17,18,2085,1.63772
gr17,19,2085,1.60774
gr17,20,2094,1.61031
gr17,21,2085,1.61639
gr17,22,2094,1.64228
gr17,23,2094,1.62475
gr17,24,2085,1.60372
gr17,25,2085,1.6083
gr17,26,2085,1.61232
gr17,27,2085,1.60662
gr17,28,2085,1.6118
gr17,29,2085,1.61044
gr21,0,2707,2.38884
gr21,1,2707,2.38668
gr21,2,2707,2.38225
gr21,3,2707,2.38876
gr21,4,2707,2.38661
gr21,5,2707,2.38937
gr21,6,2707,2.39014
gr21,7,2707,2.3932
gr21,8,2707,2.42547
gr21,9,2707,2.39125
gr21,10,2707,2.38363
gr21,11,2707,2.39993
gr21,12,2707,2.39718
gr21,13,2707,2.39133
gr21,14,2707,2.40278
gr21,15,2707,2.39938
gr21,16,2707,2.39741
gr21,17,2707,2.41057
gr21,18,2707,2.39268
gr21,19,2707,2.39281
gr21,20,2707,2.3968
gr21,21,2707,2.40027
gr21,22,2707,2.40238
gr21,23,2707,2.40428
gr21,24,2707,2.395
gr21,25,2707,2.40855
gr21,26,2707,2.3966
gr21,27,2707,2.39195
gr21,28,2707,2.40189
gr21,29,2707,2.40208
gr24,0,1272,3.14561
gr24,1,1272,3.16316
gr24,2,1272,3.14697
gr24,3,1272,3.14182
gr24,4,1278,3.14556
gr24,5,1272,3.16989
gr24,6,1272,3.15085
gr24,7,1272,3.14659
gr24,8,1272,3.14064
gr24,9,1272,3.173
gr24,10,1272,3.17698
gr24,11,1272,3.14415
gr24,12,1272,3.14116
gr24,13,1272,3.14035
gr24,14,1272,3.16669
gr24,15,1272,3.14485
gr24,16,1272,3.13991
gr24,17,1272,3.1389
gr24,18,1272,3.17259
gr24,19,1278,3.14713
gr24,20,1272,3.14062
gr24,21,1272,3.1434
gr24,22,1272,3.16905
gr24,23,1272,3.14132
gr24,24,1272,3.13911
gr24,25,1272,3.14094
gr24,26,1272,3.17154
gr24,27,1272,3.14084
gr24,28,1272,3.14299
gr24,29,1272,3.13946
gr48,0,5346,11.9643
gr48,1,5379,11.9326
gr48,2,5362,11.9383
gr48,3,5351,11.9329
gr48,4,5379,11.962
gr48,5,5315,11.9317
gr48,6,5332,11.933
gr48,7,5379,11.9396
gr48,8,5379,11.9253
gr48,9,5351,11.933
gr48,10,5379,11.9306
gr48,11,5379,11.936
gr48,12,5379,11.9309
gr48,13,5379,11.9376
gr48,14,5379,11.963
